"district_id" "ocd_id" "district_type" "office_title" "figure_name" "nome_urna" "figure_id" "party_id" "url" "district_name" "party"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "NILZA NASCIMENTO DA SILVA" "NILZA SILVA" "77577" "SOLIDARIEDADE" "https://www.facebook.com/nilza.nascimento.501" "Acre" "Solidariedade"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "DEUZIMAR RODRIGUES DE MENDONÇA" "DEUZIMAR MENDONÇA" "27333" "DC" "https://www.facebook.com/deusimar.mendonca.144" "Acre" "Democracia Cristã"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "EDSON CAVALCANTE DA SILVA" "EDSON SILVA" "31007" "PHS" "https://www.facebook.com/edsonsilva31007/" "Acre" "Partido Humanista da Soliedariedade"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "DANIELE PINHEIRO DANIEL" "DANIELE PINHEIRO" "44678" "PRP" "https://www.facebook.com/daniele.pinheiro.96155" "Acre" "Partido Republicano Progressista"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JULIO ALBERTO COSTA DE FARIA" "JULIO CAÇAMBEIRO" "31555" "PHS" "https://www.facebook.com/Juliocacambeiro/" "Acre" "Partido Humanista da Soliedariedade"
"Acre" "country:br/fed:ac" "REGIONAL_LEGISLATIVE" "Deputado do estado" "JANAYRA DA SILVA VASCONCELOS" "JANAYRA VASCONCELOS" "27344" "DC" "https://www.facebook.com/janayra.vasconcelos" "Acre" "Democracia Cristã"
"Alagoas" "country:br/fed:al" "REGIONAL_LEGISLATIVE" "Deputado do estado" "FABIANA APÓSTOLO LIRA SOARES" "FABIANA LIRA" "28800" "PRTB" "https://www.facebook.com/fabiana.lira.94009" "Alagoas" "Partido Renovador Trabalhista Brasileiro"
"Amapá" "country:br/chamber-ed:ap" "NATIONAL_LEGISLATIVE" "Deputado" "RAFAEL CAMBRAIA BARBOSA" "RAFAEL CAMBRAIA" "1296" "PDT" "https://www.facebook.com/rafaelcambraia2/" "Amapá" "Partido Democrático Trabalhista"
"Amapá" "country:br/fed:ap" "REGIONAL_LEGISLATIVE" "Deputado do estado" "WAGNER BRITO MOREIRA" "WAGNER BRITO" "23450" "PPS" "https://www.facebook.com/wagner.brito.1029" "Amapá" "Partido Popular Socialista"
"Amapá" "country:br/fed:ap" "REGIONAL_LEGISLATIVE" "Deputado do estado" "OTONIEL TAVARES DE OLIVEIRA" "TONY TRIO SALVADOR" "20000" "PSC" "https://www.facebook.com/tonytriosalvador/" "Amapá" "Partido Social Cristão"
"Amapá" "country:br/chamber-ed:ap" "NATIONAL_LEGISLATIVE" "Deputado" "ERALDO DA SILVA TRINDADE" "ERALDO TRINDADE" "2255" "PR" "https://www.facebook.com/eraldotrindade/" "Amapá" "Partido da República"
"Amapá" "country:br/fed:ap" "REGIONAL_LEGISLATIVE" "Deputado do estado" "VALDIRENE DO CARMO PICANÇO" "VALDIRENE PICANÇO" "55111" "PSD" "https://www.facebook.com/valdirene.carmo.98" "Amapá" "Partido Social Democrático"
