State,ocd_id,district_type,title
Pará,country:br/chamber-ed:pa,NATIONAL_LEGISLATIVE,Deputado
Goiás,country:br/chamber-ed:go,NATIONAL_LEGISLATIVE,Deputado
Rio Grande do Sul,country:br/chamber-ed:rs,NATIONAL_LEGISLATIVE,Deputado
Sergipe,country:br/chamber-ed:se,NATIONAL_LEGISLATIVE,Deputado
Acre,country:br/chamber-ed:ac,NATIONAL_LEGISLATIVE,Deputado
Mato Grosso do Sul,country:br/chamber-ed:ms,NATIONAL_LEGISLATIVE,Deputado
Federal District,country:br/chamber-ed:df,NATIONAL_LEGISLATIVE,Deputado
Santa Catarina,country:br/chamber-ed:sc,NATIONAL_LEGISLATIVE,Deputado
Roraima,country:br/chamber-ed:rr,NATIONAL_LEGISLATIVE,Deputado
Amazonas,country:br/chamber-ed:am,NATIONAL_LEGISLATIVE,Deputado
Paraná,country:br/chamber-ed:pr,NATIONAL_LEGISLATIVE,Deputado
Alagoas,country:br/chamber-ed:al,NATIONAL_LEGISLATIVE,Deputado
Pernambuco,country:br/chamber-ed:pe,NATIONAL_LEGISLATIVE,Deputado
Maranhão,country:br/chamber-ed:ma,NATIONAL_LEGISLATIVE,Deputado
Rio Grande do Norte,country:br/chamber-ed:rn,NATIONAL_LEGISLATIVE,Deputado
Ceará,country:br/chamber-ed:ce,NATIONAL_LEGISLATIVE,Deputado
Espírito Santo,country:br/chamber-ed:es,NATIONAL_LEGISLATIVE,Deputado
Bahia,country:br/chamber-ed:ba,NATIONAL_LEGISLATIVE,Deputado
São Paulo,country:br/chamber-ed:sp,NATIONAL_LEGISLATIVE,Deputado
Tocantins,country:br/chamber-ed:to,NATIONAL_LEGISLATIVE,Deputado
Paraíba,country:br/chamber-ed:pb,NATIONAL_LEGISLATIVE,Deputado
Mato Grosso,country:br/chamber-ed:mt,NATIONAL_LEGISLATIVE,Deputado
Piauí,country:br/chamber-ed:pi,NATIONAL_LEGISLATIVE,Deputado
Amapá,country:br/chamber-ed:ap,NATIONAL_LEGISLATIVE,Deputado
Rondônia,country:br/chamber-ed:ro,NATIONAL_LEGISLATIVE,Deputado
Rio de Janeiro,country:br/chamber-ed:rj,NATIONAL_LEGISLATIVE,Deputado
